существительное;класс наун;глагол;акцион;таксон;коллокация;нестандартные конструкции (1 или 2);субъекты (отличные от человека);пример употребления;частота
алмаз;природа: драгоценные материалы;блестеть;проявление, свойство;свет;блестеть как алмаз;;глаза;Глаза его блестели, как алмазы, а в сражении пылали. [Ф. В. Булгарин. Воспоминания (1846-1849)];4
анекдот;абстрактные имена;звучать;проявление, свойство;звук;звучать как анекдот;;рассказ, вывод;Не знаю, наверное, вначале мой рассказ звучал как анекдот.;6
атлас;материалы и вещества;лосниться;проявление;свет;лосниться как атлас;;;длинная шерсть, прежде висевшая рыжими, сухими космами и на брюхе вечно покрытая засохшею грязью, очистилась, почернела и стала лосниться, какатлас. [Л. Н. Андреев. Кусака (1901)];5
баран;животные: звери;смотреть;действие;зрительное восприятие;смотреть как баран;;;Станешь ему толковать, смотрит как баран на воду, дивишься на него только. [Ф. М. Достоевский. Бесы (1871-1872)];3
баран;животные: звери;уставиться;действие;зрительное восприятие;уставиться как баран;;;Встал через два часа, уставился, как баран, смотрит: ангел с крестом. [Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978)];4
безумный;ментальные свойства человека: отсутствие ума, человек: оценка;хохотать;действие;эмоции: проявление, звук;хохотать как безумный;;;Довольно часто, когда мне хотелось ее довести, я принималась хохотать, как безумная, над каждым ее словом. [Дина Рубина. Окна (2011)];20
белка;животные: звери;вертеться;действие;движение: ненаправленное;вертеться как белка в колесе;1;;В конце концов оказывается, что для того, чтобы просто выжить, приходится бестолково вертеться как белка в колесе. [Григорий Копанев. Робот или не робот? // «Пятое измерение», 2003][омонимия не снята];22
белка;животные: звери;крутиться;действие;движение: ненаправленное;крутиться как белка в колесе;1;;"Мама и малыш так просто и органично составили одно целое, а ему, добытчику и главе семейства, теперь приходится самому готовить себе ужин, а на закуску выслушивать попрёки: ""Я тут кручусь, как белка в колесе, а ты…"", или умильное сюсюканье: ""А вот мы как хорошо пописали-покакали… [Мария Давыдова. Кто в доме хозяин? (2003) // «100% здоровья», 2003.01.15]";11
Бог;существа;играть;способность;актуальное/потенциальное занятие;играть как Бог;;;Стоит представить, что ты в зале ? и играю, как Бог! [Алексей Слаповский. Гибель гитариста (1994-1995)];5
Бог;существа;любить;состояние;эмоции;любить как Бог любит;1;;И этим Он ни у кого не крадёт человеческой любви, потому что мы можем Его любить всем сердцем и вдруг увидеть, что любимых нами по-человечески мы теперь начинаем любить, как Бог их любит: не только нашим сердцем, а Божественной любовью. [митрополит Антоний (Блум). О радости Христовой (1987)];5
бомба;артефакты;взорваться;событие;изменение состояния/признака: мгновенное событие;взорваться как бомба;;;Через несколько миллиардов лет земля должна прогреться насквозь, взорваться, как бомба, вспыхнуть, превратиться в газовый шар, диаметром с орбиту, которую описывает луна вокруг земли, засиять, как маленькая звезда, и затем начать охлаждаться иснова сжиматься до размеров земного шара. [А. Н. Толстой. Гиперболоид инженера Гарина (1925-1927)] [омонимия не снята];13
бочка;артефакты;пить;действие;актуальное/потенциальное занятие;пить как бочка;;;Я не могу однозначно слышать опереточное: Мой папаша пил, как бочка, И погиб он от вина. [Евгений Попов. Подлинная история «Зеленых музыкантов» (1997)];3
бревно;природа: объекты;лежать;положение в пространстве;позиция;лежать как бревно;;;В этой-то мелководной луже сохранялся огромнейший крокодил, лежавший, как бревно, совершенно без движения и, видимо, лишившийся всех своих способностей от нашего сырого и негостеприимного для иностранцев климата. [Ф. М. Достоевский. Крокодил (1865)];10
бриллиант;природа: драгоценные материалы;гореть;проявление;природное явление, свет;гореть как бриллианты;;;Ночь была прелестная: звезды и планеты горели как бриллианты. [П. К. Козлов. Географический дневник Тибетской экспедиции 1923-1926 гг. №1 (1923-1924)];4
ветер;природа: явления;лететь;занятие, действие;движение: направленное;лететь как ветер;;;Вор подкрался ночью и теперь летел, как ветер. [Д. Н. Мамин-Сибиряк. Ак-Бозат (1895)];7
